name,address,lat,lng
"NORDEM","AV. DEL LIBERTADOR 15154 - ACASSUSO",-34.4751446,-58.5010131
"OFICINA","Avenida Federico Lacroze 2252, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1426, Ciudad Autónoma de Buenos Aires",-34.568478108648,-58.443204033395
"OFTALMOCLINIC SRL","AV. CALLAO 1059 -PISO 9 Y 10",-34.5964459873674,-58.3932659025874
"OSPAVIAL","Av. de Mayo 1439, caba",-34.6093033,-58.3879786
"PAOLINI","BOUCHARD 547",-34.6015294,-58.3688125
"PROTECCION INTELIGENTE","EDUARDO COSTA 2024, MARTINEZ",-34.487882,-58.4965984
"RUSSONIELLO (FLEMING)","AVENIDA SIR ALEXANDER FLEMING 2497 ( MARTINEZ )",-34.5022594,-58.5175912
"RUSSONIELLO (ROLON)","AV. AVELINO ROLON 602 ( BOULOGNE)",-34.4975915,-58.5551751
"SANYO COLOR","BENJAMIN FRANKLIN 1251, FLORIDA OESTE",-34.5400984,-58.5205358
"SBG","GUATEMALA 5640",-34.5800517,-58.4324304
"SISFRIENDS","MATURIN 2267 (PATERNAL )",-34.6004397,-58.4582449
"SPORTCLUB ARGENTINOS JUNIOR","PUNTA ARENAS 1271 (CABA )",-34.6041455,-58.4728764
"SPORTCLUB BELLA VISTA","PARDO 1609 Y RICHIERI (BELLA VISTA)",-34.5542011231436,-58.69800155647
"SPORTCLUB CASEROS","GENERAL MANUEL BELGRANO 4905",-34.6083542,-58.3711909
"SPORTCLUB CAZA Y PESCA","AV. ANGEL T. DE ALVEAR 2100 (DON TORCUATO)",-34.4909391352675,-58.6254894448191
"SPORTCLUB HACOAJ","AV.ESTADO DE ISRAEL 4156",-34.5979778,-58.4242251
"SPORTCLUB HINDU","AV.DEL GOLF 1475 (DON TORCUATO)",-34.5021703,-58.6439149
"SPORTCLUB JUMBO","GUARDIA VIEJA 4558",-34.5999337,-58.4290937
"SPORTCLUB LOS BERROS","MAYOR IRUSTA 3000",-34.5820674,-58.7010706
"SPORTCLUB MEDRANO 522","MEDRANO 552",-34.7489482,-58.3876217
"SPORTCLUB MEDRANO 780","MEDRANO 780",-34.6496021,-58.5758506
"SPORTCLUB MUÑIZ","SAN JOSE 701 - MUÑIZ",-34.5402818,-58.6950584
"SPORTCLUB PALERMO (CABRERA 4848)","JOSE ANTONIO CABRERA 4848",-34.5911407,-58.4307854
"SPORTCLUB PALERMO (PLAZA ITALIA)","URIARTE 2477",-34.5809406,-58.4228949
"SPORTCLUB TRIBUNALES","Paraná 466, caba",-34.6033546,-58.3880011
"TENACTA","3 DE FEBRERO 2750",-34.5533897,-58.457256
"TOSHIN","AV. JUAN DE GARAY 2281, CABA",-34.6279107,-58.3965299
"WEWORK BLAS PARERA","Blas Parera 3551, olivos",-34.514398,-58.5181026
"WEWORK BUTTY","Ing. Enrique Butty 275, CABA",-34.5963524481112,-58.3715839193694
"WEWORK CORRIENTES","Av. Corrientes 800, CABA",-34.6038172,-58.3777449
"WEWORK VICENTE LOPEZ","Avenida Del Libertador 1000, vicente lopez",-34.5246069,-58.4726399
"YKK","AV. TRIUNVIRATO 2729",-34.5850383,-58.4610669
"ZARA  AVELLANEDA","Gral. Güemes 897, avellaneda",-34.675789115148,-58.368954020978
"ZARA PATIO BULLRICH","Posadas 1245, CABA",-34.5903108,-58.3815168
"ZARA TORTUGAS","Tortugas Open Mall, Acceso Norte Ramal Pilar, B1667 Tortuguitas, Provincia de Buenos Aires",-34.4524045,-58.7261679
"ZARA UNI","Calle Paraná 3745, Monte Grande, Esteban Echeverría, Provincia de Buenos Aires",-34.850874781811,-58.495212212302
"ZARA UNICENTER","Paraná 3745, Martinez",-34.5083094,-58.5276247
